<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970330,80.00,88,80,85.00,500000,88.00,Ayegh Plastic-R-a
13970402,93.00,93,93,93.00,500000,93.00,Ayegh Plastic-R-a
13970403,102.00,102,102,102.00,670000,102.00,Ayegh Plastic-R-a
13970404,112.00,112,112,112.00,107000,112.00,Ayegh Plastic-R-a
13970405,101.00,101,101,101.00,1010000,101.00,Ayegh Plastic-R-a
13970406,91.00,91,91,91.00,3000000,91.00,Ayegh Plastic-R-a
13970410,82.00,82,82,82.00,2074092,82.00,Ayegh Plastic-R-a
13970416,74.00,74,74,74.00,3136350,74.00,Ayegh Plastic-R-a
13970417,74.00,74,67,67.00,2631000,70.00,Ayegh Plastic-R-a
13970419,67.00,67,61,61.00,2624700,61.00,Ayegh Plastic-R-a
13970420,55.00,55,55,55.00,39444997,55.00,Ayegh Plastic-R-a
